mortgage	loans	age	marital_status	income	risk
y	3	34	other	28060.7	bad loss
n	2	37	other	28009.34	bad loss
n	2	29	other	27614.6	bad loss
y	2	33	other	27287.18	bad loss
y	2	39	other	26954.06	bad loss
n	2	28	other	26271.86	bad loss
n	3	28	other	40445	bad loss
n	2	25	other	23888.3	bad loss
n	2	41	other	35249.25	bad loss
n	2	26	other	23518.88	bad loss
n	2	30	other	23575.22	bad loss
n	2	23	other	23447.54	bad loss
n	2	47	other	23058.02	bad loss
y	2	23	other	22039.4	bad loss
y	2	24	other	21114.5	bad loss
n	3	28	other	24996.75	bad loss
n	3	31	other	16351.22	bad loss
n	2	47	other	16095.2	bad loss
y	1	22	single	42156.98	bad loss
y	1	38	single	40053.5	bad loss
y	1	23	single	39780.92	bad loss
y	1	27	single	39528.14	bad loss
y	2	23	single	27980.84	bad loss
y	2	27	single	26857.34	bad loss
y	2	35	single	41436.25	bad loss
y	1	23	single	25453.46	bad loss
y	1	26	single	24777.08	bad loss
y	1	17	single	23948.48	bad loss
y	2	27	single	23972.6	bad loss
y	2	29	single	23709.38	bad loss
y	2	43	single	33036	bad loss
y	2	24	single	32626	bad loss
y	2	30	single	32411.5	bad loss
y	1	33	single	22121.12	bad loss
y	1	30	single	21024.62	bad loss
y	2	34	single	19904.78	bad loss
y	1	23	single	24314.5	bad loss
y	1	26	single	19040	bad loss
y	2	19	single	19192	bad loss
y	2	36	single	16856.54	bad loss
y	1	35	single	16364.5	bad loss
y	1	30	single	15989.42	bad loss
y	0	42	married	33971.9	bad loss
y	0	35	married	27311.3	bad loss
n	1	23	married	35641.75	bad loss
y	1	28	married	34407	bad loss
n	1	48	married	28143.5	bad loss
n	1	23	married	19332.74	bad loss
n	1	19	married	20954.5	bad loss
y	2	50	single	23910	bad loss
n	1	33	married	20188.1	bad loss
y	0	40	single	56329.4	bad loss
y	0	25	married	35483.12	bad loss
y	3	47	other	29225.6	bad loss
n	3	18	other	28831.82	bad loss
n	2	38	other	28961.48	bad loss
n	3	25	other	28380.38	bad loss
y	2	33	other	27134.72	bad loss
n	2	31	other	26646.62	bad loss
n	2	34	other	26092.52	bad loss
y	2	47	other	26094.2	bad loss
y	2	40	other	25691.12	bad loss
y	3	36	other	25585.04	bad loss
y	2	32	other	25052.36	bad loss
y	3	28	other	24787.34	bad loss
y	2	38	other	24819.02	bad loss
y	2	26	other	24297.38	bad loss
y	2	43	other	24164.54	bad loss
y	3	42	other	24114.02	bad loss
n	2	46	other	23868.56	bad loss
y	2	25	other	23579.84	bad loss
y	2	32	other	23559.26	bad loss
y	3	34	other	23680.52	bad loss
y	2	33	other	23615.24	bad loss
y	3	26	other	22544.66	bad loss
n	3	40	other	20465.84	bad loss
y	3	41	other	20307.5	bad loss
n	3	31	other	20352.26	bad loss
y	2	51	other	19886.72	bad loss
y	2	46	other	18133.25	bad loss
y	3	36	other	16402.4	bad loss
y	3	38	other	15301.25	bad loss
y	0	35	single	53882.66	bad loss
y	0	42	single	52492.46	bad loss
y	0	44	single	45447.98	bad loss
y	0	33	single	44444.72	bad loss
y	1	25	single	43281.44	bad loss
y	1	34	single	43321.7	bad loss
y	0	42	single	40621.16	bad loss
y	1	35	single	27800.66	bad loss
y	1	26	single	24053.48	bad loss
y	1	27	single	36316	bad loss
y	1	39	single	23785.64	bad loss
y	2	44	single	35426.25	bad loss
y	2	33	single	35558	bad loss
y	2	34	single	35581	bad loss
y	1	21	single	34947.5	bad loss
y	1	36	single	33782.75	bad loss
y	1	37	single	33691.5	bad loss
y	1	41	single	22935.38	bad loss
y	2	29	single	33470.25	bad loss
y	1	39	married	32943.5	bad loss
y	1	41	single	32713.5	bad loss
y	2	59	single	22484.12	bad loss
y	1	28	married	32228.5	bad loss
y	1	32	single	22319.24	bad loss
y	1	25	single	32222.25	bad loss
y	2	46	single	22276.64	bad loss
y	2	26	single	22198.7	bad loss
y	1	53	single	31815.75	bad loss
y	1	44	married	31035	bad loss
y	2	53	single	31044.75	bad loss
y	1	45	single	30669.25	bad loss
y	2	52	single	30348	bad loss
y	1	32	single	30028.25	bad loss
n	1	49	single	29352.5	bad loss
y	1	59	single	29154.5	bad loss
y	1	55	single	29218.75	bad loss
y	1	38	single	29009.25	bad loss
n	2	52	single	28675.5	bad loss
y	2	42	single	20533.64	bad loss
y	2	54	single	27191	bad loss
n	2	62	married	27030.5	bad loss
y	1	39	single	39994.9	good risk
y	2	48	single	39826.6	good risk
y	2	36	single	44332.75	good risk
y	2	36	single	44404	good risk
y	2	51	single	43584.5	good risk
y	1	62	single	39138.94	good risk
y	1	50	single	41855.25	good risk
y	1	59	single	37939.78	good risk
n	1	25	single	40134	good risk
n	1	48	single	39527.75	good risk
y	2	49	single	37362.64	good risk
n	2	60	single	38269.5	good risk
n	1	57	single	38278.75	good risk
n	2	53	single	38008.75	good risk
y	2	41	single	37166	good risk
y	2	50	single	36233.08	good risk
n	2	28	single	35326.25	good risk
n	2	54	single	34716.5	good risk
n	1	35	single	34277	good risk
n	1	49	single	34191.75	good risk
y	0	54	married	53242.06	good risk
y	0	45	married	50380.9	good risk
n	1	39	married	43789.9	good risk
y	1	35	married	43505.26	good risk
n	1	30	married	55751	good risk
y	1	51	married	55436	good risk
n	1	55	married	55186.75	good risk
n	1	53	married	43345.78	good risk
y	1	49	married	54843	good risk
y	1	55	married	54522.25	good risk
y	1	34	married	54180.75	good risk
n	1	31	married	42949.6	good risk
n	1	56	married	53411.5	good risk
y	1	47	married	53665.25	good risk
n	1	47	married	53321.25	good risk
y	1	63	married	53482.75	good risk
y	1	54	married	53011.5	good risk
y	1	38	married	52561.75	good risk
n	1	50	married	52726.5	good risk
n	1	66	married	42120.34	good risk
y	1	56	married	51684.25	good risk
n	1	57	married	51127.25	good risk
n	1	31	married	50799.5	good risk
n	1	44	married	50664.25	good risk
n	1	54	married	50203.25	good risk
n	1	38	married	49812.75	good risk
y	1	53	married	49813.25	good risk
n	1	53	married	49664.25	good risk
y	1	27	married	49553.75	good risk
n	1	53	married	40909.24	good risk
y	1	51	married	40692.4	good risk
y	1	42	married	47468.5	good risk
n	1	48	married	47334.75	good risk
n	1	37	married	46957.75	good risk
n	1	33	married	45627.75	good risk
y	1	32	married	39807.22	good risk
n	1	40	married	44957.25	good risk
n	1	41	married	44619.75	good risk
y	1	46	married	43896.5	good risk
y	1	43	married	43521.25	good risk
n	1	34	married	39759.75	good risk
y	1	32	married	38096.5	good risk
n	1	31	married	37887.5	good risk
y	1	35	married	37371.75	good risk
y	1	41	married	37436.5	good risk
y	1	46	married	36786	good risk
n	1	38	married	36357	good risk
n	1	40	married	35614	good risk
n	1	52	married	35380.75	good risk
n	0	43	single	61250.68	good risk
y	1	45	married	56693.25	good risk
n	1	54	married	42060	good risk
n	3	54	other	48110.32	good risk
n	3	40	other	62949.25	good risk
y	2	44	other	45072.4	good risk
y	3	46	other	44623.54	good risk
y	3	51	other	41864.02	good risk
n	3	56	other	40223.74	good risk
y	3	55	other	39417.88	good risk
n	2	51	other	36691.6	good risk
y	0	40	other	78398.62	good risk
y	1	50	single	72214.9	good risk
y	0	56	single	70133.62	good risk
y	1	43	single	69142	good risk
y	1	63	single	66774.22	good risk
y	1	38	single	66399.46	good risk
y	0	49	single	65255.68	good risk
y	0	54	single	65087.8	good risk
y	1	51	single	64692.76	good risk
y	1	38	single	64051.12	good risk
y	1	43	single	64029.88	good risk
y	1	43	single	63627.88	good risk
y	0	43	single	63508.96	good risk
y	1	60	single	63205	good risk
y	0	50	single	63007.9	good risk
y	0	42	single	62868.7	good risk
y	0	51	single	61746.76	good risk
y	0	49	single	61738.12	good risk
y	0	54	single	61173.7	good risk
y	0	37	single	61119.7	good risk
y	0	46	single	60802.66	good risk
y	1	34	single	60372.1	good risk
y	1	47	single	59908.72	good risk
y	1	55	single	59796.52	good risk
y	0	49	single	57767.74	good risk
y	1	32	single	55186.72	good risk
y	1	48	single	52943.08	good risk
y	0	45	other	48266.8	good risk
n	1	51	married	47493	good risk
y	1	48	single	46631.25	good risk
y	0	52	married	52033.54	good risk
y	0	37	married	51852.4	good risk
y	0	49	married	50873.56	good risk
y	0	44	married	50793.46	good risk
y	0	50	married	48931.66	good risk
y	0	33	married	48780.16	good risk
y	0	45	married	47067.82	good risk
y	0	60	married	46869.88	good risk
y	0	51	married	46810.12	good risk
y	0	55	married	45709.78	good risk
y	0	51	married	44896.42	good risk
y	0	54	married	44301.52	good risk
y	1	60	married	54096	good risk
